id,name,internal,catchment_id,created,last_modified,version
178,Plym,FALSE,98,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
179,Rawthay,FALSE,78,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
180,Rede,FALSE,130,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
181,Rheidol,FALSE,99,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
182,Rhyd-hir,FALSE,100,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
183,Rhymney,FALSE,101,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
184,Ribble,FALSE,102,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
185,Rothay,FALSE,70,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
186,Rother (Eastern),FALSE,103,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
187,Rother (Petworth),FALSE,104,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
188,Rusland Pool,FALSE,70,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
189,Sawdde,FALSE,131,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
190,Scalby Beck,FALSE,105,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
191,Seaton,FALSE,106,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
192,Seiont,FALSE,107,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
193,Severn,FALSE,108,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
194,Soch,FALSE,109,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
195,Solva,FALSE,110,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
196,Sprint,FALSE,68,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
197,St Austell,FALSE,111,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
198,Stock Ghyll,FALSE,70,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
199,Stour (Kent),FALSE,112,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
200,Stour (SW),FALSE,113,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
201,Swale,FALSE,94,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
202,Syfynwy,FALSE,24,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
203,Taf,FALSE,114,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
204,Taff,FALSE,115,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
205,Tamar,FALSE,116,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
206,Tanat,FALSE,108,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
207,Tavy,FALSE,117,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
208,Taw,FALSE,118,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
209,Tawe,FALSE,119,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
210,Tees,FALSE,120,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
211,Teifi,FALSE,121,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
212,Teign,FALSE,122,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
213,Teme,FALSE,108,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
214,Test,FALSE,123,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
215,Thames,FALSE,124,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
216,Thaw,FALSE,125,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
217,Tiddy,FALSE,126,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
218,Tone,FALSE,96,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
219,Torridge,FALSE,127,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
220,Trent,FALSE,128,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
221,Tresilian,FALSE,129,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
222,Trout Beck,FALSE,42,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
223,Tryweryn,FALSE,31,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
224,Twymyn,FALSE,39,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
225,Tyne (Main),FALSE,130,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
226,Tyne (North),FALSE,130,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
